,key,uid,ctr,coord,lbl,guid,subcl
144,156,156,"[35338, 45875]","[[35313 45850]
 [35363 45900]]",1,e42bbe4c-5d1d-44b0-83c7-454a03ff30b6,42
145,157,157,"[37791, 46323]","[[37766 46298]
 [37816 46348]]",1,e05da44d-60c1-4735-bd06-a43287c21042,42
146,158,158,"[36105, 47676]","[[36080 47651]
 [36130 47701]]",1,9a820c3d-1c44-4999-a662-dbf229be6af8,42
148,160,160,"[29873, 48424]","[[29848 48399]
 [29898 48449]]",1,402a46c7-da05-4b02-8d56-61da9e285e0a,42
151,163,163,"[34428, 49447]","[[34403 49422]
 [34453 49472]]",1,90630639-2646-40b7-97f3-d1fef25e3dc8,42
152,164,164,"[33128, 49241]","[[33103 49216]
 [33153 49266]]",1,e6b57a71-6577-4778-a03e-c761c2f98e97,42
153,165,165,"[25903, 50557]","[[25878 50532]
 [25928 50582]]",1,14f87481-3dab-4ffe-8351-5312590b290d,42
154,166,166,"[25698, 50551]","[[25673 50526]
 [25723 50576]]",1,eebcff7c-ef50-473d-af86-65386afec857,42
155,167,167,"[26952, 50618]","[[26927 50593]
 [26977 50643]]",1,40d7a924-9683-40bf-a22b-6f74cd676fc5,42
161,173,173,"[27766, 54763]","[[27741 54738]
 [27791 54788]]",1,7098b58b-d612-480d-b626-f20a0196a772,42
162,174,174,"[28265, 54912]","[[28240 54887]
 [28290 54937]]",1,257adcc2-e5b5-4dd7-800e-17d61a6228c6,42
163,175,175,"[28674, 54962]","[[28649 54937]
 [28699 54987]]",1,6e08694c-41fb-4aa5-835b-f81a4947b599,42
164,1369,1369,"[16754, 5012]","[[16729  4987]
 [16779  5037]]",1,00cfec47-d8a9-4d7f-b4f4-c4f8a2f2baa4,42
165,1370,1370,"[16785, 4981]","[[16760  4956]
 [16810  5006]]",1,2d389c23-2ed5-4706-a593-1ab9dc528984,42
166,1371,1371,"[21387, 6762]","[[21362  6737]
 [21412  6787]]",1,78e1577f-8e89-4f16-9267-64b2a293d05b,42
167,1372,1372,"[22943, 6676]","[[22918  6651]
 [22968  6701]]",1,80b36d84-481e-4949-bd32-e0886d7e1b62,42
203,1411,1411,"[23277, 37475]","[[23252 37450]
 [23302 37500]]",1,82e61531-b37d-4d7a-9319-ca87c22391c0,42
204,1412,1412,"[3405, 37795]","[[ 3380 37770]
 [ 3430 37820]]",1,8061c966-ee48-4e4a-aba4-62868b3b9e2f,42
205,1413,1413,"[6671, 38714]","[[ 6646 38689]
 [ 6696 38739]]",1,24a42676-16e7-440f-836c-cf974f8bcd86,42
206,1414,1414,"[35659, 39781]","[[35634 39756]
 [35684 39806]]",1,21f07f02-a010-42a5-8843-bfa7780de7cb,42
237,30104,30104,"[13173, 38867]","[[13148 38842]
 [13198 38892]]",1,458cc52d-7442-4b5f-851d-e9eab2276368,42
238,30105,30105,"[37719, 38875]","[[37694 38850]
 [37744 38900]]",1,68494ace-95c8-4520-9a35-3df235d5cb4e,42
239,30106,30106,"[37397, 38694]","[[37372 38669]
 [37422 38719]]",1,59e6c63c-3ba3-4dbe-ad16-bb6beb0c3f58,42
240,30107,30107,"[37388, 39953]","[[37363 39928]
 [37413 39978]]",1,a73c1830-3282-4aae-828c-f69939588a0c,42
241,30108,30108,"[23778, 40451]","[[23753 40426]
 [23803 40476]]",1,e09ee0e5-2827-4eaf-be1d-84b59d8d6d18,42
243,30110,30110,"[39135, 40717]","[[39110 40692]
 [39160 40742]]",1,ad34c681-4d50-4980-93b8-2d6400526e64,42
244,30111,30111,"[9321, 41657]","[[ 9296 41632]
 [ 9346 41682]]",1,a7a33e03-f5bb-4c03-abc8-a1d517299b30,42
245,30112,30112,"[10705, 42243]","[[10680 42218]
 [10730 42268]]",1,3d8e41e3-2b14-4a6e-a8e7-6c4752bc5634,42
246,30113,30113,"[34749, 41703]","[[34724 41678]
 [34774 41728]]",1,3b061e02-77df-4484-8f08-7783a3e4ba80,42
247,30114,30114,"[34886, 41782]","[[34861 41757]
 [34911 41807]]",1,4e26bd2e-11db-464a-80d8-abf2627eb7fc,42
248,30115,30115,"[9398, 42434]","[[ 9373 42409]
 [ 9423 42459]]",1,e1840607-cefc-4376-8fa8-b3d1a83351f5,42
249,30116,30116,"[35624, 43025]","[[35599 43000]
 [35649 43050]]",1,496a6b74-bc04-413a-ad1d-5ecf875fbf24,42
250,30117,30117,"[34717, 43428]","[[34692 43403]
 [34742 43453]]",1,e802ed4e-fbac-4ea3-ac44-83e16703b235,42
251,30118,30118,"[34859, 43762]","[[34834 43737]
 [34884 43787]]",1,0c1727bc-01af-43ff-b1be-d850f220831a,42
253,30120,30120,"[35819, 44003]","[[35794 43978]
 [35844 44028]]",1,f378f5a5-279b-45e3-a1bd-3660a2c91654,42
254,30121,30121,"[36081, 44033]","[[36056 44008]
 [36106 44058]]",1,8e054808-4bad-4b89-8954-e619800af01c,42
255,30122,30122,"[35583, 43821]","[[35558 43796]
 [35608 43846]]",1,0123ef80-6d61-4d5d-928d-a93196b52f88,42
256,30123,30123,"[36752, 43890]","[[36727 43865]
 [36777 43915]]",1,30bd2910-220a-4b32-8674-f768937d631f,42
257,30124,30124,"[33870, 46254]","[[33845 46229]
 [33895 46279]]",1,3f050af4-cb53-4afc-b088-aaff32e0bd58,42
258,30125,30125,"[33671, 46472]","[[33646 46447]
 [33696 46497]]",1,1794e165-2c98-45a8-9d06-bb4e1cfd0634,42
259,30126,30126,"[36288, 46337]","[[36263 46312]
 [36313 46362]]",1,de3ccc04-974d-4c78-b6c1-5df57969ea8f,42
260,30127,30127,"[36212, 47514]","[[36187 47489]
 [36237 47539]]",1,abb37531-d105-4313-b612-df3903f4bd8d,42
263,30130,30130,"[30381, 49707]","[[30356 49682]
 [30406 49732]]",1,2728e630-96f4-4b10-b69e-475f3d736377,42
264,30131,30131,"[37565, 49762]","[[37540 49737]
 [37590 49787]]",1,bff0b277-8c32-4038-bbf1-d5becedf1882,42
265,30132,30132,"[27291, 51960]","[[27266 51935]
 [27316 51985]]",1,65b82aa4-6a18-4100-9a2e-77e967e9463e,42
236,30103,30103,"[9138, 38813]","[[ 9113 38788]
 [ 9163 38838]]",1,0fa542cd-cd44-48b9-b0d5-0f2b2d46167b,42
120,126,126,"[33681, 36582]","[[33656 36557]
 [33706 36607]]",1,b746ce4a-3ae2-4cdf-a984-ce472ea1efef,42
235,30102,30102,"[41464, 38427]","[[41439 38402]
 [41489 38452]]",1,04784faf-a740-4aed-899f-30450df552fd,42
233,30100,30100,"[9879, 38127]","[[ 9854 38102]
 [ 9904 38152]]",1,db287524-4abf-4241-b2f4-5495c1ad7823,42
207,1415,1415,"[39588, 40107]","[[39563 40082]
 [39613 40132]]",1,0ebfae5a-1b97-4f6e-b5e6-216d51e2da1a,42
208,1416,1416,"[5579, 40795]","[[ 5554 40770]
 [ 5604 40820]]",1,97c7b231-0309-4bbc-a970-cc1af53929ac,42
209,1417,1417,"[16644, 40873]","[[16619 40848]
 [16669 40898]]",1,4ec3eedf-da2a-4960-9689-a4a65ecb24f5,42
210,1418,1418,"[38772, 41218]","[[38747 41193]
 [38797 41243]]",1,de3a8ef3-6593-4475-99b0-74760c17fa69,42
211,1419,1419,"[9346, 41532]","[[ 9321 41507]
 [ 9371 41557]]",1,cafb6d91-31d2-4296-bdd8-8b637213ed73,42
212,1420,1420,"[34275, 41947]","[[34250 41922]
 [34300 41972]]",1,bbae0521-3d67-406a-ad4f-081662387e01,42
213,1421,1421,"[34205, 41989]","[[34180 41964]
 [34230 42014]]",1,46354a95-4ff6-4b3e-b390-7edf307e8be4,42
214,1422,1422,"[36986, 42186]","[[36961 42161]
 [37011 42211]]",1,6003c49c-dd5e-447c-811c-d288c5e0101a,42
215,1423,1423,"[9449, 42333]","[[ 9424 42308]
 [ 9474 42358]]",1,c81731af-ea38-4803-8e5f-7b745cb7bbd1,42
216,1424,1424,"[10073, 42265]","[[10048 42240]
 [10098 42290]]",1,c6fcba29-45e6-45ae-8239-6133702a7a17,42
217,1425,1425,"[36130, 42708]","[[36105 42683]
 [36155 42733]]",1,b03e6124-f969-4c8a-90d7-70ceee740ffb,42
218,1426,1426,"[36692, 42366]","[[36667 42341]
 [36717 42391]]",1,c0aeb6ad-b77f-4264-bf05-e499bd571dee,42
219,1427,1427,"[33360, 44035]","[[33335 44010]
 [33385 44060]]",1,f578c992-b160-43ab-9c08-233109a213c4,42
220,1428,1428,"[34053, 44573]","[[34028 44548]
 [34078 44598]]",1,17c2d06d-b4bd-44aa-8beb-d90bbac3219f,42
222,1430,1430,"[24291, 52490]","[[24266 52465]
 [24316 52515]]",1,fd06a15b-8842-424b-b94c-292a237309ca,42
223,1431,1431,"[29531, 53406]","[[29506 53381]
 [29556 53431]]",1,785451c3-a6f2-43c3-9eaf-02ab9e42610d,42
224,1432,1432,"[29728, 53389]","[[29703 53364]
 [29753 53414]]",1,d2790a05-e668-4352-8ff4-9de1754a0855,42
225,1433,1433,"[29557, 53516]","[[29532 53491]
 [29582 53541]]",1,61044c13-6b03-4728-b428-89e3fee2eba0,42
226,1434,1434,"[29648, 53358]","[[29623 53333]
 [29673 53383]]",1,a2504ca9-e11b-4d75-b71a-976b5837bcf1,42
227,1435,1435,"[30469, 53446]","[[30444 53421]
 [30494 53471]]",1,25aa90f1-cdab-44a0-9b3a-f7a798e02f12,42
228,1436,1436,"[29684, 54690]","[[29659 54665]
 [29709 54715]]",1,eb30dc3b-fa20-4b6c-8af5-d2e337c3b1e0,42
229,30096,30096,"[10483, 36902]","[[10458 36877]
 [10508 36927]]",1,b280ad2b-f646-4807-8bde-17e65f13abf6,42
230,30097,30097,"[10641, 36843]","[[10616 36818]
 [10666 36868]]",1,750ca351-67c8-4872-9899-b93575dc4d3d,42
231,30098,30098,"[11115, 36421]","[[11090 36396]
 [11140 36446]]",1,ec9fef92-d57d-4a06-81b7-9e150c89de37,42
232,30099,30099,"[7657, 38223]","[[ 7632 38198]
 [ 7682 38248]]",1,50df6afc-4aa4-4d9e-8a05-03a22514c247,42
234,30101,30101,"[23222, 37843]","[[23197 37818]
 [23247 37868]]",1,62f27274-91f8-47cc-8c4f-5b37091de5ab,42
119,125,125,"[23069, 36293]","[[23044 36268]
 [23094 36318]]",1,08dad3cf-519d-4b72-8c50-0fdc29568432,42
267,30134,30134,"[29268, 54468]","[[29243 54443]
 [29293 54493]]",1,1511a889-3a91-46e3-afad-1afb855aed47,42
67,70,70,"[19010, 31181]","[[18985 31156]
 [19035 31206]]",1,8835341e-b901-416c-86bb-63bd331ff82c,42
75,78,78,"[13309, 32075]","[[13284 32050]
 [13334 32100]]",1,a9264c55-8f4b-456f-8076-4f773cafd424,42
42,44,44,"[27314, 19859]","[[27289 19834]
 [27339 19884]]",1,6d86f8c9-cbf0-484e-977a-7694a0f17e06,42
41,43,43,"[27253, 19921]","[[27228 19896]
 [27278 19946]]",1,82b731f8-8b39-4613-a548-e9babe8365d5,42
78,82,82,"[41823, 31852]","[[41798 31827]
 [41848 31877]]",1,57a10d7e-29d0-4926-a423-28d8fb6416d5,42
40,42,42,"[27149, 19482]","[[27124 19457]
 [27174 19507]]",1,4ed3807b-18bc-462a-abdc-c33443eea920,42
79,83,83,"[5046, 32554]","[[ 5021 32529]
 [ 5071 32579]]",1,8eb3931a-78cb-4cf6-8134-3cd8a35646d4,42
80,84,84,"[6294, 32815]","[[ 6269 32790]
 [ 6319 32840]]",1,eb9c5e35-4678-43f4-9ac5-9e6a98c692d7,42
81,85,85,"[6198, 32685]","[[ 6173 32660]
 [ 6223 32710]]",1,c1e423a2-3cd4-48f0-9656-cf38b38d692d,42
39,41,41,"[28786, 19080]","[[28761 19055]
 [28811 19105]]",1,a5184bed-528c-41d8-bb2c-909177d13a3e,42
38,40,40,"[28645, 19115]","[[28620 19090]
 [28670 19140]]",1,1b2c646e-68fe-4fbf-842c-0d388708cef9,42
83,87,87,"[20420, 32496]","[[20395 32471]
 [20445 32521]]",1,a82801ff-2ab8-4916-864f-a30289601bb9,42
84,88,88,"[26293, 32914]","[[26268 32889]
 [26318 32939]]",1,6d6922e9-f8ec-478e-83a1-7838d440cdfd,42
37,39,39,"[28758, 19207]","[[28733 19182]
 [28783 19232]]",1,e0b938dc-d51d-422a-8103-e98da444b083,42
36,38,38,"[30077, 18080]","[[30052 18055]
 [30102 18105]]",1,6026b4f3-7cd2-4b4d-a88c-12010d18dcfd,42
87,91,91,"[43141, 32525]","[[43116 32500]
 [43166 32550]]",1,40d38f3e-7e9b-4479-ad24-43b531750ed8,42
35,37,37,"[26342, 18192]","[[26317 18167]
 [26367 18217]]",1,ee36d645-0248-4a0d-bd44-ead499c4a021,42
34,36,36,"[29082, 17485]","[[29057 17460]
 [29107 17510]]",1,12c834a5-2b0a-482a-8acd-17257a979501,42
33,35,35,"[17952, 17130]","[[17927 17105]
 [17977 17155]]",1,268bde98-3644-4b38-9f6e-13bf9db17e3b,42
32,34,34,"[17860, 17151]","[[17835 17126]
 [17885 17176]]",1,9a0e1527-44f1-49c1-a94c-4a110591898c,42
74,77,77,"[13477, 32019]","[[13452 31994]
 [13502 32044]]",1,c6bbe05f-d525-4c45-af61-9c96ec3bfa18,42
73,76,76,"[10924, 32215]","[[10899 32190]
 [10949 32240]]",1,cd2f3d93-16f8-48ba-bd9b-d6233f42e2b4,42
43,45,45,"[28647, 19387]","[[28622 19362]
 [28672 19412]]",1,d96b5ec6-bd34-4bea-9370-3b77f36274a4,42
44,46,46,"[28629, 19275]","[[28604 19250]
 [28654 19300]]",1,eac9c945-abac-45b3-a7ab-f7bf19e7d498,42
54,56,56,"[32345, 26001]","[[32320 25976]
 [32370 26026]]",1,5912a066-b844-47b5-b293-e2130ae0be91,42
55,57,57,"[32752, 25915]","[[32727 25890]
 [32777 25940]]",1,305b3959-83aa-4c9c-8852-2773e4350e9e,42
56,58,58,"[24173, 26594]","[[24148 26569]
 [24198 26619]]",1,0591a279-20c0-4dac-bb47-231980521da2,42
58,60,60,"[42896, 26134]","[[42871 26109]
 [42921 26159]]",1,75f159ee-2895-473d-8677-310ea0b42004,42
59,61,61,"[23787, 27511]","[[23762 27486]
 [23812 27536]]",1,df255cdd-11c4-4977-bcd2-825ba2111e19,42
50,52,52,"[19372, 25673]","[[19347 25648]
 [19397 25698]]",1,12a6dc61-51eb-47fc-812a-2722e6f15510,42
60,62,62,"[33793, 29127]","[[33768 29102]
 [33818 29152]]",1,23418368-54c0-4c5a-9441-c14d706aaac3,42
49,51,51,"[23560, 24556]","[[23535 24531]
 [23585 24581]]",1,f4947e69-dcde-4f68-a731-2a823a7d406a,42
48,50,50,"[24168, 23413]","[[24143 23388]
 [24193 23438]]",1,8173d017-9298-4b59-9643-41dda77eb357,42
53,55,55,"[22129, 25515]","[[22104 25490]
 [22154 25540]]",1,ef75866f-4d5d-40cb-8066-111bda0b7f3c,42
61,64,64,"[14603, 30548]","[[14578 30523]
 [14628 30573]]",1,3fbc94f0-2897-4320-a872-46f4c2a702c1,42
63,66,66,"[17915, 30376]","[[17890 30351]
 [17940 30401]]",1,8dae9868-31a0-43dc-a07d-f371d4bf72cd,42
47,49,49,"[19733, 21560]","[[19708 21535]
 [19758 21585]]",1,46742e48-e59e-4b54-bf13-371000f15ec1,42
65,68,68,"[16017, 30899]","[[15992 30874]
 [16042 30924]]",1,466e54c1-968e-467f-8ad4-9be43364dde2,42
46,48,48,"[28914, 19549]","[[28889 19524]
 [28939 19574]]",1,5e36f637-1121-4f6b-8837-91cf7dd75970,42
114,120,120,"[4915, 36628]","[[ 4890 36603]
 [ 4940 36653]]",1,1531e90b-217e-4eec-ae00-ae5c251faffe,42
68,71,71,"[18909, 31335]","[[18884 31310]
 [18934 31360]]",1,05f473f5-361a-46bd-a908-f8a8ec01ec12,42
69,72,72,"[30809, 31142]","[[30784 31117]
 [30834 31167]]",1,4db45c8f-d585-4950-8a13-fb51127dcdea,42
45,47,47,"[28690, 19688]","[[28665 19663]
 [28715 19713]]",1,ae90bb31-8a78-4df6-be69-4e9c0dc87908,42
70,73,73,"[6640, 32184]","[[ 6615 32159]
 [ 6665 32209]]",1,aa000733-60e5-4c9d-ba60-049431209cf3,42
62,65,65,"[18545, 30560]","[[18520 30535]
 [18570 30585]]",1,7d6b5d83-0e53-4cc8-865a-65b2e18fc47f,42
93,98,98,"[7796, 34038]","[[ 7771 34013]
 [ 7821 34063]]",1,c73c2631-e78a-4848-8eea-735a41fb83d9,42
31,33,33,"[24549, 15897]","[[24524 15872]
 [24574 15922]]",1,c4c70b2a-ffe4-4004-a598-59417ebfe928,42
29,31,31,"[21212, 14338]","[[21187 14313]
 [21237 14363]]",1,6ab60471-6205-4e07-b64c-4227dd3dd83d,42
11,12,12,"[20929, 9853]","[[20904  9828]
 [20954  9878]]",1,f19b3816-1918-421d-81f1-9f034fa7cddf,42
10,11,11,"[19810, 9668]","[[19785  9643]
 [19835  9693]]",1,89309c88-b8a2-4c09-8976-faf1288ae1a3,42
105,111,111,"[5425, 35795]","[[ 5400 35770]
 [ 5450 35820]]",1,1504d136-8504-4d3f-abf1-5c4c80ba544b,42
9,10,10,"[15481, 9406]","[[15456  9381]
 [15506  9431]]",1,bf764c0d-ebc1-4eaa-b763-0ab2e2e4d163,42
106,112,112,"[8139, 35979]","[[ 8114 35954]
 [ 8164 36004]]",1,5d07ae4a-0a90-498f-b19f-2aebeece79f0,42
8,9,9,"[14607, 9443]","[[14582  9418]
 [14632  9468]]",1,4c711ecb-3aaf-49c6-849f-4e81eb4d79e3,42
7,8,8,"[14561, 9753]","[[14536  9728]
 [14586  9778]]",1,93897268-c222-4f52-9897-14f9f2708da7,42
108,114,114,"[38772, 35383]","[[38747 35358]
 [38797 35408]]",1,c8d1343f-9a44-4777-a6d0-b0f512694754,42
30,32,32,"[17104, 14736]","[[17079 14711]
 [17129 14761]]",1,2b5e7f12-2be9-4d09-9e9c-7a7a7d3f82fa,42
6,7,7,"[24069, 8282]","[[24044  8257]
 [24094  8307]]",1,86c3e10c-4adf-4765-9c34-86ce3ede8d0c,42
5,6,6,"[15300, 8437]","[[15275  8412]
 [15325  8462]]",1,c6ffc256-a24d-4f1c-b951-db79e0928719,42
4,5,5,"[23504, 7623]","[[23479  7598]
 [23529  7648]]",1,1c886987-f274-440d-bf8b-9369ef9f6847,42
111,117,117,"[41957, 35803]","[[41932 35778]
 [41982 35828]]",1,62057911-34bf-42eb-b36f-23722ddf0a88,42
112,118,118,"[44038, 36029]","[[44013 36004]
 [44063 36054]]",1,0a614abe-67fd-45e0-8b21-78527f319199,42
113,119,119,"[43990, 36089]","[[43965 36064]
 [44015 36114]]",1,9d6124e7-9e39-4bcc-bd01-675a15c98acc,42
3,4,4,"[21086, 6940]","[[21061  6915]
 [21111  6965]]",1,eea842e0-5739-4143-995f-13053cfb8dfa,42
2,3,3,"[20378, 6976]","[[20353  6951]
 [20403  7001]]",1,846da71e-d894-4018-9c23-a0472781a699,42
1,2,2,"[21030, 7305]","[[21005  7280]
 [21055  7330]]",1,b1c70dda-71fc-4444-ace1-d2dbf7ce9149,42
109,115,115,"[39878, 35406]","[[39853 35381]
 [39903 35431]]",1,4e658fe6-e60a-47c2-90f3-4512d22937ce,42
13,14,14,"[20455, 9910]","[[20430  9885]
 [20480  9935]]",1,844a81f3-a142-4397-b1ef-5cd80d0e277f,42
12,13,13,"[20294, 9828]","[[20269  9803]
 [20319  9853]]",1,f113dd22-6464-4a37-9731-c2cba17ba5c2,42
14,15,15,"[15180, 10804]","[[15155 10779]
 [15205 10829]]",1,8437f027-0740-4799-b245-879e675cafae,42
28,30,30,"[20582, 13959]","[[20557 13934]
 [20607 13984]]",1,3a4808ce-44fc-4837-9ce0-99aef5c8a339,42
27,29,29,"[20644, 12656]","[[20619 12631]
 [20669 12681]]",1,747f0025-d65d-447a-acab-f7b2bc698a6f,42
26,28,28,"[19142, 12549]","[[19117 12524]
 [19167 12574]]",1,b92c40c1-2ae5-4725-905f-805568864518,42
25,27,27,"[16703, 13060]","[[16678 13035]
 [16728 13085]]",1,936b8880-72d1-4e9f-a7aa-f30f9496c0df,42
95,100,100,"[8008, 34838]","[[ 7983 34813]
 [ 8033 34863]]",1,793cabdc-e0ef-4e7d-aa9a-78cc62d13b5c,42
96,101,101,"[8076, 34796]","[[ 8051 34771]
 [ 8101 34821]]",1,4ff21058-8431-411e-b2c7-e0e076019f35,42
24,26,26,"[21413, 11949]","[[21388 11924]
 [21438 11974]]",1,63f825bc-1583-48d1-9460-1ed7a9511d7b,42
23,24,24,"[20324, 12198]","[[20299 12173]
 [20349 12223]]",1,03dff835-1c9c-4dfd-b27f-1bdacbd82ee1,42
103,108,108,"[43706, 35060]","[[43681 35035]
 [43731 35085]]",1,46a313a6-5998-4b1b-bb06-e5be53c56b1f,42
21,22,22,"[20965, 10043]","[[20940 10018]
 [20990 10068]]",1,a1d6f100-163b-4c0d-a605-6a6b84fde2bc,42
22,23,23,"[19974, 11925]","[[19949 11900]
 [19999 11950]]",1,4d65964a-0604-42a7-8700-e365e6d49296,42
20,21,21,"[21135, 10271]","[[21110 10246]
 [21160 10296]]",1,69847ff5-2b2d-4d94-8053-ac459eb76e63,42
19,20,20,"[20965, 10310]","[[20940 10285]
 [20990 10335]]",1,e7f387ba-8f06-4e54-b44e-73437b6e8d6f,42
18,19,19,"[20813, 10114]","[[20788 10089]
 [20838 10139]]",1,d3a64f80-0507-4249-ab1c-3237f38c77cd,42
102,107,107,"[23768, 35215]","[[23743 35190]
 [23793 35240]]",1,ec7f40c8-5692-46f9-88eb-2cc2b3e62f94,42
17,18,18,"[20915, 10087]","[[20890 10062]
 [20940 10112]]",1,89dc81b3-6d82-4019-b444-76504f7e0f62,42
16,17,17,"[21154, 10402]","[[21129 10377]
 [21179 10427]]",1,b65f736a-fdcb-48c1-96ff-c9a9efc172f1,42
15,16,16,"[15171, 10665]","[[15146 10640]
 [15196 10690]]",1,abea3cdb-97c9-453e-80cc-b82c08c49ab1,42
52,54,54,"[21888, 25729]","[[21863 25704]
 [21913 25754]]",1,5f974947-0337-402a-be69-628226f26a34,42
261,30128,30128,"[32468, 48809]","[[32443 48784]
 [32493 48834]]",2,963b8988-0946-4d4e-a5cc-3b88673b9820,42
262,30129,30129,"[32796, 48831]","[[32771 48806]
 [32821 48856]]",2,d05f5962-045f-46db-8aa1-a0341e2c2ae9,42
221,1429,1429,"[34655, 52074]","[[34630 52049]
 [34680 52099]]",2,29ae213a-ea06-4e04-9f31-e69cdb85b02b,42
